Code,Innovation Name,Spatial Scale,Indicator Number,Indicator Name,Description,Metric,Category,slope_log,slope_exp,slope_lin,log_t0,log_Dt,log_K,exp_a,exp_c,lin_intercept,log_r2,log_r2adj,log_rmse,log_mae,exp_r2,exp_r2adj,exp_rmse,exp_mae,lin_r2,lin_r2adj,lin_rmse,lin_mae,n_data_points,n_non_zero_data_points,max_over_K,min_over_K,range_over_k,length_trimmed_series_years,n_data_points_beyond_max,n_data_points_beyond_min,suspected_reversal_up2down,suspected_reversal_down2up,at_least_one_big_jump,autocorr_l1,all_values_less_than_or_equal_to_1,all_values_less_than_or_equal_to_100,C1_R2,C2_threshold_non_zero_value_years,C3_pct_non_zero,C4_less_than_250_jump_in_second_half,C4_less_than_80_fall_in_second_half,C4_combined_less_than_80_fall_and_250_jump_in_second_half,C5_volatility_autocorrelation_lag1_threshold_0.7,C6_{K_COVERAGE_THRESHOLD}_of_k_covered_by_data,C7_lin_r2,use_log,use_lin, old GN scoring @retreat,old GN comments,old CW scoring @retreat,comments_fit_CW,comments_delete_CW,comments_alternativeseries_CW,comments_transformations_CW,use_logfit_CW,use_linfit_CW,select_1.1_earegion_CW,select_1.1_allregions_CW,select_non1.1s_earegion_CW,select_non1.1s_allregions_CW,GN final scoring,use_logfit_GN,use_linfit_GN,select_1.1_earegion_GN,select_1.1_allregions_GN,select_non1.1s_earegion_GN,select_non1.1s_allregions_GN,PDF page,use_logfit_AGREE?,use_linfit_AGREE?,select_1.1_earegion_AGREE?,select_1.1_allregions_AGREE?,select_non1.1s_earegion_AGREE?,select_non1.1s_allregions_AGREE?,FINAL AGREED,use_logfit_FIN,use_linfit_FIN,select_1.1_earegion_FIN,select_1.1_allregions_FIN,select_non1.1s_earegion_FIN,select_non1.1s_allregions_FIN,Delete from working file,Unnamed: 89,code_without_indicator_name
pas_glo_4.3Com_d215_m010,passive building retrofits,Global,4.3,Compatibility,cumulative # countries with passive buildings,# countries,m5,0.2946,0.061785,1.5977,2007.3,14.917,42.886,2.087,1971.6,-3185.3,0.98968,0.98865,1.6573,1.3611,0.8229,0.81147,6.8661,6.013,0.92298,0.91801,4.5281,3.7924,34,34,0.95602,0.023318,0.9327,34,11,33,1,0,0,0.9647,0,1,y,y,y,y,y,y,y,y,y,y,y,1,,convert to cum.,,0,prefer,transformed-cumulative,1,1,0,0,1,1,,,,,,,,1253,,,,,,,,1,1,0,0,1,1,,,pas_glo_4.3_d215_m010
dri_sto_1.1Ado_d334_m185,drivers licence,Stockholm,1.1,Adoption over Time,share of teenagers with drivers licenses,market share,b9,0.018264,0.018264,0.004499,2570.4,240.6,6803.5,2.2448e-08,1122.9,-8.7965,0.76953,0.078113,0.017874,0.016363,0.76953,0.53906,0.017874,0.016363,0.73006,0.46013,0.019344,0.018109,5,5,4.8168e-05,3.1961e-05,1.6207e-05,21,0,3,0,1,0,0.75348,1,1,y,m,y,y,y,y,y,m,y,m,m,,,,*needs sign reversal * negative slope = LED innovation,0,prefer-relative,transformed-marketshare,1,1,0,1,0,0,,1,1,0,1,0,0,217,,,,,,,,1,1,0,1,0,0,,,dri_sto_3.2_d334_m185
dri_swe_1.1Ado_d334_m185,drivers licence,Sweden,1.1,Adoption over Time,share of teenagers with drivers licenses,market share,b9,-0.022396,-0.022396,-0.0092404,1514.9,-196.21,22427,1.3617,1948.4,18.918,0.74424,0.68943,0.045534,0.036586,0.74424,0.71014,0.045534,0.036587,0.67556,0.6323,0.051285,0.039707,18,18,3.139e-05,1.6364e-05,1.5026e-05,29,17,8,0,1,0,0.90776,1,1,y,y,y,y,y,y,y,m,y,m,y,,,,*needs sign reversal * negative slope = LED innovation,0,prefer-relative,transformed-marketshare,1,1,1,1,0,0,,1,1,1,1,0,0,220,,,,,,,,1,1,1,1,0,0,,,dri_swe_3.2_d334_m185
low_ger_1.1Ado_d329_m185,low-carbon long distance travel,Germany,1.1,Adoption over Time,share of pkm by rail,market share,b4,0.0039154,0.001,4.3929e+09,2007.5,1122.3,1.122e+12,10,1950,-7.7945e+12,-75.283,-85.685,4.6589e+11,4.6334e+11,-368.74,-400.9,1.0257e+12,1.0243e+12,0.3815,0.32771,4.1951e+10,2.156e+10,26,26,1,0.79323,0.20677,26,4,0,1,0,0,0.96807,0,0,n,y,y,y,y,y,y,y,y,n,y,,,,* error in logfit,0,prefer-relative,transformed-marketshare,0,1,1,1,0,0,,0,1,1,1,0,0,890,,,,,,,,0,1,1,1,0,0,,,low_ger_1.1_d329_m185
act_ams_1.1Ado_d063_m028,active mobility,Amsterdam,1.1,Adoption over time,Bike ownership,%,b7,-0.011465,0.0054776,0.0038502,4079.4,-383.29,0.69857,0.76729,2018.3,-7.0056,-1.4439e-10,-1,0.039071,0.030204,0.78529,0.67794,0.018104,0.017715,0.79629,0.69443,0.017635,0.017232,7,7,1.0736,0.88753,0.18609,29,1,6,0,0,0,0.86693,1,1,n,y,y,y,y,y,y,m,y,n,y,1,,,,0,,,0,1,0,0,0,0,,0,1,0,0,0,0,1,,,,,,,,0,1,0,0,0,0,delete,Current rules (fix in March),act_ams_1.1_d063_m028
act_bei_1.1Ado_d060_m028,active mobility,Beijing,1.1,Adoption over time,Bicycle modal share,%,b7,-0.16166,-0.00040147,-0.01425,2004.6,-27.183,0.56684,-1544.5,-1.526e+05,28.852,1,1,2.154e-10,1.9821e-10,-9.2413,,0.4054,0.3851,0.96449,,0.023871,0.0221,3,3,0.95317,0.40576,0.54742,22,2,0,0,0,0,0.60149,1,1,y,m,y,y,y,y,m,y,y,m,m,2,,,,0,,,1,1,0,0,0,0,,1,1,0,0,0,0,5,,,,,,,,1,1,0,0,0,0,delete,delete if time series wont be used in Feb analysis,act_bei_1.1_d060_m028
cro_ber_1.1Ado_d059_m126,car ownership,Berlin,1.1,Adaption over time,"Berlin Car density: 
2008-2024","cars per 1,000 inhabitants",b5,0.46191,0.0019583,0.65735,2002,9.5137,334.89,79.734,1288.1,-993.56,0.57391,0.47558,4.627,3.8783,0.20393,0.090208,6.3244,5.2346,0.2064,0.093033,6.3146,5.2253,17,17,1.0197,0.94687,0.072859,17,12,15,1,0,0,0.94371,0,0,m,y,y,y,y,y,y,m,m,m,m,2,,,*needs sign reversal * negative slope = LED innovation,0,,,0,1,0,0,0,0,,0,1,0,0,0,0,90,,,,,,,,0,1,0,0,0,0,delete,,cro_ber_1.1_d059_m126
dig_den_2.9Int_d004_m028,digital skills,Denmark,2.9,Inter-dependence with hardware,% households with a computer,%,s1,-0.083208,0.023104,0.019516,2444.8,-52.813,0.74064,1.086,2024.9,-38.438,-7.2558e-12,-0.10714,0.21178,0.17571,0.63618,0.61108,0.12774,0.11192,0.72394,0.7049,0.11127,0.099385,32,32,1.2827,0.31594,0.96673,32,7,31,1,0,0,0.97687,1,1,n,y,y,y,y,y,y,y,y,n,y,,,,,0,,,,1,,,,,,1,1,0,0,1,1,164,,,,,,,,1,1,0,0,1,1,,,dig_den_2.9_d004_m028
dig_ita_2.9Int_d004_m028,digital skills,Italy,2.9,Inter-dependence with hardware,% households with a computer,%,s1,0.26892,0.0027294,0.018968,2001.2,16.341,0.67885,1554.9,1.575e+05,-37.587,0.97071,0.96671,0.028144,0.023768,-10.971,-12.012,0.56894,0.54466,0.79519,0.77738,0.074417,0.063119,26,26,1.048,0.246,0.80201,27,10,25,1,0,0,0.96842,1,1,y,y,y,y,y,y,y,y,y,y,y,,,,,0,,,1,1,,,,,,1,1,0,0,0,1,173,,,,,,,,1,1,0,0,0,1,,,dig_ita_2.9_d004_m028
dig_nor_2.9Int_d004_m028,digital skills,Norway,2.9,Inter-dependence with hardware,% households with a computer,%,s1,0.13851,0.0031965,0.024041,1997,31.727,1.0333,1554.9,1.5749e+05,-47.459,0.96664,0.96075,0.029395,0.021318,-23.724,-26.471,0.80025,0.7839,0.93106,0.9234,0.042258,0.031692,21,21,0.94416,0.37743,0.56672,23,1,20,0,0,0,0.9593,1,1,y,y,y,y,y,y,y,y,y,y,y,,,,,0,,,1,1,,,,,,1,1,0,0,0,1,181,,,,,,,,1,1,0,0,0,1,,,dig_nor_2.9_d004_m028
dig_pol_2.9Int_d004_m028,digital skills,Poland,2.9,Inter-dependence with hardware,% households with a computer,%,s1,0.31138,0.0044591,0.037382,2005.2,14.113,0.83096,1554.4,1.5754e+05,-74.538,0.99586,0.99504,0.013756,0.011496,-7.8449,-8.9505,0.63614,0.5991,0.91627,0.90581,0.061892,0.052927,19,19,1.0003,0.22745,0.7729,19,0,18,0,0,0,0.95029,1,1,y,y,y,y,y,y,y,y,y,y,y,,,,,0,,,1,1,,,,,,1,1,0,0,0,1,189,,,,,,,,1,1,0,0,0,1,,,dig_pol_2.9_d004_m028
dig_por_2.9Int_d004_m028,digital skills,Portugal,2.9,Inter-dependence with hardware,% households with a computer,%,s1,0.20112,0.0038986,0.031109,2004.3,21.85,0.78167,1554.5,1.5752e+05,-61.966,0.99349,0.99246,0.01681,0.012073,-4.4435,-4.9878,0.48612,0.4392,0.98088,0.97897,0.028808,0.024172,23,23,0.91459,0.14072,0.77387,23,0,22,0,0,0,0.94926,1,1,y,y,y,y,y,y,y,y,y,y,y,,,,,0,,,1,1,,,,,,1,1,0,0,0,1,197,,,,,,,,1,1,0,0,0,1,,,dig_por_2.9_d004_m028
dig_swe_2.9Int_d004_m028,digital skills,Sweden,2.9,Inter-dependence with hardware,% households with a computer,%,s1,0.28729,0.029801,0.024658,1997.3,15.296,0.9072,0.98083,2015,-48.703,0.98103,0.97768,0.022848,0.019241,0.74577,0.71752,0.083634,0.069902,0.81031,0.78923,0.072242,0.059427,21,21,1.0173,0.35273,0.66457,21,4,20,1,0,0,0.96347,1,1,y,y,y,y,y,y,y,y,y,y,y,,,,,0,,,1,1,,,,,,1,1,0,0,0,1,205,,,,,,,,1,1,0,0,0,1,,,dig_swe_2.9_d004_m028
dri_sto_1.1Ado_d031_m072,drivers licence,Stockholm,1.1,Adoption over Time,% of population holding a drivers licence,% of population,b9,-0.00011746,-0.00010085,-5.3361e-05,-13366,-37411,3.7855,0.56004,1540.6,0.6414,0.0037638,-2.9849,0.0061621,0.0055958,0.0037694,-0.99246,0.006162,0.0055958,0.0037354,-0.99253,0.0061621,0.0055959,5,5,0.14317,0.13917,0.0039982,21,0,1,0,1,0,0.79465,1,1,n,m,y,y,y,y,y,m,m,n,m,,,,*needs sign reversal * negative slope = LED innovation,0,,,0,1,0,0,0,0,,1,1,0,0,0,0,216,check,,,,,,,1,1,0,0,0,0,delete,,dri_sto_1.1_d031_m072
dri_swe_1.1Ado_d031_m072,drivers licence,Sweden,1.1,Adoption over Time,% of population holding a drivers licence,% of population,b9,1.3446,0.0012141,0.00096677,1986.3,3.2683,0.8,0.17332,746.87,-1.1399,1,1,3.7468e-09,3.7425e-09,0.77033,,0.0045183,0.0042591,0.77341,,0.0044879,0.0042296,3,3,1,0.975,0.025,22,1,2,1,0,0,0.66935,1,1,y,m,y,y,y,y,m,m,y,m,m,,,,*needs sign reversal * negative slope = LED innovation,0,,,0,1,0,0,0,0,,0,1,0,0,0,0,219,,,,,,,,0,1,0,0,0,0,delete,,dri_swe_1.1_d031_m072
dri_usa_3.2Adc_d032_m057,drivers licence,US,3.2,Adopter characteristics,"% of population holding a drivers licence, by age group",% of <=19 yr olds,b9,-0.075899,0.00033889,-0.0063917,2024.5,-57.899,0.67678,1555.5,1.5742e+05,13.326,0.59835,0.29712,0.092151,0.083982,-13.3,-19.019,0.54985,0.53027,0.5309,0.34326,0.09959,0.090787,8,8,1.1821,0.48908,0.69299,45,5,1,1,0,0,0.85176,1,1,m,y,y,y,y,y,y,y,y,m,y,,,,,0,,,,1,,,,,,1,1,0,0,0,0,239,,,,,,,,1,1,0,0,0,0,delete,,dri_usa_3.2_d032_m057
dri_usa_3.2Adc_d033_m065,drivers licence,US,3.2,Adopter characteristics,"% of population holding a drivers licence, by gender",% of female population,b9,-0.01787,0.0013376,0.0043526,4076.9,-245.91,0.79508,1555.3,1.5741e+05,-7.8775,-5.2731e-12,-0.053571,0.085541,0.069542,-86.392,-89.459,0.79967,0.79508,0.77652,0.76868,0.040438,0.03566,60,60,1.1054,0.72255,0.38288,60,0,59,0,0,0,0.98557,1,1,n,y,y,y,y,y,y,y,y,n,y,,,,,0,,,,1,,,,,,0,1,0,0,0,0,240,,,,,,,,0,1,0,0,0,0,delete,,dri_usa_3.2_d033_m065
dri_usa_3.2Adc_d033_m070,drivers licence,US,3.2,Adopter characteristics,"% of population holding a drivers licence, by gender",% of male population,b9,-0.018262,0.00073867,-0.001779,2111.9,-240.63,1.0557,1555.5,1.5739e+05,4.4893,0.91468,0.91011,0.0094831,0.0075253,-846.62,-876.37,0.94522,0.94466,0.90049,0.897,0.010242,0.0078867,60,60,0.93901,0.83772,0.10128,60,55,8,0,1,0,0.98349,1,1,y,y,y,y,y,y,y,m,y,m,y,,,,,0,,,,1,,,,,,1,1,0,0,0,0,241,,,,,,,,1,1,0,0,0,0,delete,,dri_usa_3.2_d033_m070
dri_usa_3.2Adc_d334_m185,drivers licence,US,3.2,Adopter characteristics,share of teenagers with drivers licenses,market share,b9,-0.075899,0.00033889,-0.0063917,2024.5,-57.899,0.67678,1555.5,1.5742e+05,13.326,0.59835,0.29712,0.092151,0.083982,-13.3,-19.019,0.54985,0.53027,0.5309,0.34326,0.09959,0.090787,8,8,1.1821,0.48908,0.69299,45,5,1,1,0,0,0.85176,1,1,m,y,y,y,y,y,y,y,y,m,y,,,,* should be 1.1 Adoption over Time + *needs sign reversal * negative slope = LED innovation,0,,,1,1,0,1,0,0,,1,1,0,1,0,0,242,,,,,,,,1,1,0,1,0,0,,,dri_usa_3.2_d334_m185
dri_was_3.2Adc_d032_m055,drivers licence,Washington DC,3.2,Adopter characteristics,"% of population holding a drivers licence, by age group",% of 20-24 yr olds,b9,-0.051167,-0.00121,-0.023009,1756.8,-85.885,1.8549e+05,-1544.4,-1.5267e+05,46.743,0.98882,0.95526,0.022825,0.021204,-3.7241,-8.4481,0.46909,0.41649,0.94381,0.88763,0.051158,0.042152,5,5,4.4391e-06,1.3428e-06,3.0962e-06,25,4,1,0,0,0,0.58555,1,1,y,m,y,y,y,y,m,m,y,m,m,,,,,0,,,,,,,,,,1,1,0,0,0,0,250,,,,,,,,1,1,0,0,0,0,delete,,dri_was_3.2_d032_m055
dri_was_3.2Adc_d032_m057,drivers licence,Washington DC,3.2,Adopter characteristics,"% of population holding a drivers licence, by age group",% of <=19 yr olds,b9,-0.14227,-0.053496,-0.012033,1912.6,-30.888,61328,-1544.9,-1.5262e+05,24.32,0.9963,0.98519,0.0072609,0.006048,-0.59679,-2.1936,0.15078,0.092178,0.84453,0.68906,0.047048,0.034591,5,5,5.3417e-06,2.5565e-07,5.0861e-06,25,4,1,0,0,1,0.22605,1,1,y,m,y,y,y,y,m,m,y,m,m,,,,,0,,,,,,,,,,1,1,0,0,0,0,251,,,,,,,,1,1,0,0,0,0,delete,,dri_was_3.2_d032_m057
dri_was_3.2Adc_d033_m065,drivers licence,Washington DC,3.2,Adopter characteristics,"% of population holding a drivers licence, by gender",% of female population,b9,0.011993,0.011992,0.0092807,2826.8,366.42,14283,4.2766,2150.3,-17.853,0.79296,0.17183,0.043915,0.040946,0.79296,0.58592,0.043915,0.040946,0.76787,0.53575,0.046499,0.042484,5,5,6.8541e-05,5.0529e-05,1.8012e-05,25,0,3,0,1,0,0.78303,1,1,y,m,y,y,y,y,y,m,y,m,m,,,,,0,,,,,,,,,,1,1,0,0,0,0,252,,,,,,,,1,1,0,0,0,0,delete,,dri_was_3.2_d033_m065
dri_was_3.2Adc_d033_m070,drivers licence,Washington DC,3.2,Adopter characteristics,"% of population holding a drivers licence, by gender",% of male population,b9,0.0036751,0.0036734,0.0032036,4084.2,1195.7,1838.6,3.4298,2374.6,-5.5396,0.26003,-1.9599,0.050012,0.040584,0.26003,-0.47993,0.050011,0.040584,0.25214,-0.49572,0.050278,0.040739,5,5,0.00052182,0.00043538,8.6446e-05,25,2,3,1,1,0,0.78495,1,1,n,m,y,y,y,y,y,m,m,n,m,,,,,0,,,,,,,,,,1,1,0,0,0,0,253,,,,,,,,1,1,0,0,0,0,delete,,dri_was_3.2_d033_m070
dri_was_3.2Adc_d334_m185,drivers licence,Washington DC,3.2,Adopter characteristics,share of teenagers with drivers licenses,market share,b9,-0.14227,-0.053496,-0.012033,1912.6,-30.888,61328,-1544.9,-1.5262e+05,24.32,0.9963,0.98519,0.0072609,0.006048,-0.59679,-2.1936,0.15078,0.092178,0.84453,0.68906,0.047048,0.034591,5,5,5.3417e-06,2.5565e-07,5.0861e-06,25,4,1,0,0,1,0.22605,1,1,y,m,y,y,y,y,m,m,y,m,m,,,,* should be 1.1 Adoption over Time + *needs sign reversal * negative slope = LED innovation,0,,,1,1,0,1,0,0,,1,1,0,1,0,0,254,,,,,,,,1,1,0,1,0,0,,,dri_was_3.2_d334_m185
eat_ind_1.1Ado_d260_m170,eating less meat,India,1.1,Adoption over time,Partial up to max per capita beef consumption,Partial up to max Kg/yr,b1,0.0046749,0.0046688,0.010866,3394.5,940.01,1780.9,4.6546,2122.9,-19.127,0.5374,0.39862,0.040839,0.031418,0.5374,0.4533,0.040839,0.031417,0.53222,0.44717,0.041067,0.031497,14,14,0.0014025,0.001287,0.00011557,14,1,11,0,1,0,0.92535,0,1,m,y,y,y,y,y,y,m,y,m,y,,,,,0,,transformed-partial,,1,,,0,0,,1,1,0,0,0,0,333,,,,,,,,1,1,0,0,0,0,delete,,eat_ind_1.1_d260_m170
eat_ind_1.1Ado_d261_m171,eating less meat,India,1.1,Adoption over time,Partial max and after per capita beef consumption,Partial max and after Kg/yr,b1,-0.033193,-0.0028796,-0.039091,1979,-132.39,5.5622,-1543.2,-1.5274e+05,80.06,0.71898,0.69557,0.28461,0.16599,-11.478,-12.153,1.8965,1.8189,0.70643,0.69056,0.29089,0.16143,40,40,0.44906,0.15102,0.29804,40,39,8,0,1,0,0.95622,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,,0,,transformed-partial,1,1,,,0,0,,1,1,0,0,0,0,334,,,,,,,,1,1,0,0,0,0,delete,,eat_ind_1.1_d261_m171
eat_ind_1.1Ado_d262_m170,eating less meat,India,1.1,Adoption over time,Partial up to max per capita other meat consumption,Partial up to max kg/yr,b1,0.0090313,0.0090273,0.0011687,2829.8,486.58,293.62,16.357,2510.4,-2.1779,0.24891,0.023581,0.0082668,0.0068562,0.24891,0.11235,0.0082668,0.0068561,0.24395,0.10649,0.0082941,0.0069035,14,14,0.00051246,0.000407,0.00010545,14,1,13,0,0,0,0.92917,1,1,n,y,y,y,y,y,y,m,m,n,m,,,,,0,,transformed-partial,,,,,0,0,,1,1,0,0,0,0,335,,,,,,,,1,1,0,0,0,0,delete,,eat_ind_1.1_d262_m170
eat_ind_1.1Ado_d263_m171,eating less meat,India,1.1,Adoption over time,Partial max and after per capita other meat consumption,Partial max and after kg/yr,b1,-9.2187,-0.036974,-0.0046166,2009.2,-0.47669,0.13938,5.3627e-05,2202.7,9.3373,0.99322,0.99266,0.0052609,0.0028664,0.55291,0.52875,0.042733,0.038197,0.6953,0.67883,0.035278,0.030345,40,28,1.0795,0.90715,0.17238,28,27,0,0,0,0,0.96379,1,1,y,y,y,y,y,y,y,m,y,m,y,,,,,0,,transformed-partial,,1,,,0,0,,0,1,0,0,0,0,336,,,,,,,,0,1,0,0,0,0,delete,,eat_ind_1.1_d263_m171
eat_ind_1.1Ado_d264_m170,eating less meat,India,1.1,Adoption over time,Partial up to max per capita pig consumption,Partial up to max Kg/yr,b1,0.020192,0.0017399,0.0080323,2374.7,217.64,1114.8,1554.8,1.5742e+05,-15.515,0.93641,0.92687,0.014547,0.011846,-48.327,-53.025,0.40517,0.40104,0.92893,0.92216,0.015379,0.012596,24,24,0.00043769,0.00027693,0.00016076,24,1,23,0,0,0,0.95697,1,1,y,y,y,y,y,y,y,m,y,m,y,,,,,0,,transformed-partial,,1,,,0,0,,1,1,0,0,0,0,337,,,,,,,,1,1,0,0,0,0,delete,,eat_ind_1.1_d264_m170
eat_ind_1.1Ado_d265_m171,eating less meat,India,1.1,Adoption over time,Partial max and after per capita pig consumption,Partial max and after Kg/yr,b1,-0.041858,-0.027295,-0.009741,1989.4,-104.98,1.0752,1.2234,1960.5,19.903,0.94238,0.93573,0.020928,0.017926,0.93921,0.93471,0.021495,0.018687,0.9352,0.9304,0.022194,0.018464,30,30,0.4538,0.21391,0.23989,30,29,0,0,0,0,0.96341,1,1,y,y,y,y,y,y,y,y,y,y,y,,,,,0,,transformed-partial,1,1,,,0,0,,1,1,0,0,0,0,338,,,,,,,,1,1,0,0,0,0,delete,,eat_ind_1.1_d265_m171
eat_ind_1.1Ado_d266_m170,eating less meat,India,1.1,Adoption over time,Partial up to max per capita poultry consumption,Partial up to max kg/yr,b1,0.086579,0.0064102,0.057363,2020.1,50.757,6.1502,1554.2,1.5752e+05,-113.44,0.98616,0.9853,0.10914,0.067554,-1.2202,-1.3108,1.3825,1.0249,0.86091,0.85523,0.34604,0.28993,52,52,0.52519,0.025925,0.49926,52,1,49,0,0,0,0.96117,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,,0,,transformed-partial,1,1,,,0,0,,1,1,0,0,0,0,339,,,,,,,,1,1,0,0,0,0,delete,,eat_ind_1.1_d266_m170
eat_ind_1.1Ado_d267_m171,eating less meat,India,1.1,Adoption over time,Partial max and after per capita poultry consumption,Partial max and after kg/yr,b1,,,-0.6,,,,,,1215.2,,,,,,,,,1,1,7.99e-14,6.9056e-14,2,2,,,,2,1,0,0,0,0,0.48963,0,1,n,n,y,y,y,y,m,m,y,n,n,,,,,0,,transformed-partial,,,,,0,0,,1,1,0,0,0,0,340,,,,,,,,1,1,0,0,0,0,delete,,eat_ind_1.1_d267_m171
eat_ind_1.1Ado_d268_m170,eating less meat,India,1.1,Adoption over time,Partial up to max per capita sheep & goat consumption,Partial up to max Kg/yr,b1,0.0043051,0.0012062,0.0027657,3696.7,1020.7,1073,1555,1.5739e+05,-4.8143,0.3022,0.16264,0.023308,0.019233,-557.9,-627.76,0.65964,0.65905,0.29475,0.20659,0.023432,0.019333,19,19,0.00066218,0.00057803,8.4151e-05,19,1,11,0,1,0,0.9406,1,1,m,y,y,y,y,y,y,m,m,m,m,,,,,0,,transformed-partial,,,,,0,0,,1,1,0,0,0,0,341,,,,,,,,1,1,0,0,0,0,delete,,eat_ind_1.1_d268_m170
eat_ind_1.1Ado_d269_m171,eating less meat,India,1.1,Adoption over time,Partial max and after per capita sheep & goat consumption,Partial max and after Kg/yr,b1,-0.0073337,-0.007329,-0.0045885,1001.6,-599.21,977.51,0.45544,2047.6,9.8241,0.78929,0.7689,0.023998,0.014874,0.78929,0.77612,0.023998,0.014874,0.78574,0.77235,0.024199,0.015224,35,35,0.00072688,0.00052173,0.00020515,35,34,9,0,1,0,0.9693,1,1,y,y,y,y,y,y,y,m,y,m,y,,,,,0,,transformed-partial,,1,,,0,0,,1,1,0,0,0,0,342,,,,,,,,1,1,0,0,0,0,delete,,eat_ind_1.1_d269_m171
eat_jap_1.1Ado_d256_m166,eating less meat,Japan,1.1,Adoption over time,Partial up to max % poultry+pig in total meat consumption,Partial up to max % kg/yr,b1,0.0025228,0.0011112,0.0019324,4302.5,1741.9,259.72,1555.3,1.5741e+05,-3.0873,0.60368,0.57891,0.023508,0.019095,-423.95,-441.3,0.76976,0.76886,0.60324,0.58705,0.023521,0.01914,52,52,0.0031929,0.0025954,0.00059759,52,0,51,0,0,0,0.98136,1,1,m,y,y,y,y,y,y,m,y,m,y,,,,,0,,,,1,,,0,0,,1,1,0,0,0,0,376,,,,,,,,1,1,0,0,0,0,delete,,eat_jap_1.1_d256_m166
eat_jap_1.1Ado_d257_m167,eating less meat,Japan,1.1,Adoption over time,Partial max and after % poultry+pig in total meat consumption,Partial max and after % kg/yr,b1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,0,0,0,0,,,1,1,n,n,y,m,m,m,m,m,m,n,n,,,,,0,,,,,,,0,0,,0,0,0,0,0,0,377,,,,,,,,0,0,0,0,0,0,delete,,eat_jap_1.1_d257_m167
eat_jap_1.1Ado_d260_m170,eating less meat,Japan,1.1,Adoption over time,Partial up to max per capita beef consumption,Partial up to max Kg/yr,b1,0.087765,0.042589,0.30206,1988.2,50.071,15.45,9.7641,1995.2,-592.8,0.97054,0.96739,0.48881,0.34893,0.94433,0.9405,0.67195,0.45931,0.95896,0.95613,0.57699,0.43947,32,32,0.73283,0.1853,0.54753,32,1,31,0,0,0,0.96647,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,,0,,,1,1,,,0,0,,1,1,0,0,0,0,380,,,,,,,,1,1,0,0,0,0,delete,,eat_jap_1.1_d260_m170
eat_jap_1.1Ado_d261_m171,eating less meat,Japan,1.1,Adoption over time,Partial max and after per capita beef consumption,Partial max and after Kg/yr,b1,-0.00064922,-0.00063817,-0.0055381,-4316.4,-6768.8,565.26,9.6152,1932.3,20.281,0.0026246,-0.1636,0.70289,0.55788,0.002627,-0.10236,0.70289,0.55787,0.0024921,-0.10251,0.70294,0.55745,22,22,0.02003,0.014721,0.0053089,22,21,17,0,1,0,0.9392,0,1,n,y,y,y,y,y,y,m,m,n,m,,,,,0,,,,,,,0,0,,1,1,0,0,0,0,381,,,,,,,,1,1,0,0,0,0,delete,,eat_jap_1.1_d261_m171
eat_jap_1.1Ado_d262_m170,eating less meat,Japan,1.1,Adoption over time,Partial up to max per capita other meat consumption,Partial up to max kg/yr,b1,-42.246,-0.0012148,-0.020913,1974.1,-0.10402,1.7258,-1543.6,-1.5262e+05,42.938,0.88903,0.55611,0.019651,0.01459,-828.51,-1658,1.699,1.698,0.25135,-0.4973,0.051042,0.045203,5,5,1.0164,0.91943,0.096998,5,1,0,1,0,0,0.80903,0,1,y,n,y,y,y,y,y,m,m,n,n,,,,,0,,,,,,,0,0,,0,1,0,0,0,0,382,,,,,,,,0,1,0,0,0,0,delete,,eat_jap_1.1_d262_m170
eat_jap_1.1Ado_d263_m171,eating less meat,Japan,1.1,Adoption over time,Partial max and after per capita other meat consumption,Partial max and after kg/yr,b1,-0.078744,-0.078743,-0.027755,1835.4,-55.807,86717,0.58276,1986.6,55.884,0.98643,0.98553,0.052128,0.041493,0.98643,0.98585,0.052127,0.041493,0.76912,0.75908,0.21505,0.17304,49,49,2.0228e-05,1.0379e-06,1.919e-05,49,48,8,0,1,0,0.91865,0,1,y,y,y,y,y,y,y,m,y,m,y,,,,,0,,,,1,,,0,0,,1,1,0,0,0,0,383,,,,,,,,1,1,0,0,0,0,delete,,eat_jap_1.1_d263_m171
eat_jap_1.1Ado_d264_m170,eating less meat,Japan,1.1,Adoption over time,Partial up to max per capita pig consumption,Partial up to max Kg/yr,b1,0.059276,0.015845,0.2676,1979.1,74.136,23.421,7.2636,1946.1,-517.67,0.96904,0.96707,0.71038,0.56409,0.91289,0.90926,1.1917,0.93494,0.95177,0.94977,0.88664,0.70489,51,51,0.9466,0.29824,0.64836,51,1,50,0,0,0,0.98079,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,,0,,,1,1,,,0,0,,1,1,0,0,0,0,384,,,,,,,,1,1,0,0,0,0,delete,,eat_jap_1.1_d264_m170
